project_id,mp_id,state,constituency,allocated_amount,work_type,location_id,project_description,estimated_cost,sanctioned_amount,baseline_expenditure,expenditure,payment_count,start_date,expected_completion,actual_completion,status,physical_progress_pct,financial_progress_pct,is_injected_anomaly,anomaly_type,anomaly_severity,severity_score,duplicate_group_id,project_remaining_balance,expenditure_delta,mp_allocation_breach_cause,mp_remaining_allocation
PRJ_000018,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,community_hall,LOC_MPID_0001_47,Construction of community hall at LOC_MPID_0001_47,11803895.34,10774059.68,0.0,0.0,0,2026-08-13,2027-03-15,,sanctioned,0.0,0.0,0,none,NONE,0,none,10774059.68,0.0,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000019,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_27,Covering of drainage in drainage at LOC_MPID_0001_27,3265645.13,2976887.79,2688379.95,4271814.97,7,2026-04-29,2026-09-25,,in_progress,88.86,143.5,1,cost_overrun,MEDIUM,2,none,-1294927.18,1583435.02,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000020,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,water_supply,LOC_MPID_0001_83,Installation of water supply at LOC_MPID_0001_83,5153950.38,4736043.93,0.0,0.0,0,2026-08-04,2027-01-18,,sanctioned,0.0,0.0,0,none,NONE,0,none,4736043.93,0.0,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000021,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,road,LOC_MPID_0001_22,Widening of road at LOC_MPID_0001_22,11634363.54,10863272.01,10424721.19,11521824.51,4,2025-05-09,2026-03-10,2026-04-18,completed,100.0,106.06,1,cost_overrun,LOW,1,none,-658552.5,1097103.32,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000022,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,water_supply,LOC_MPID_0001_49,Laying pipelines for water supply at LOC_MPID_0001_49,4083625.47,3840649.11,2114265.44,4512810.0,6,2026-05-30,2026-11-17,,in_progress,41.48,117.5,1,cost_overrun,LOW,1,none,-672160.89,2398544.56,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000023,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,community_hall,LOC_MPID_0001_88,Upgradation of community hall at LOC_MPID_0001_88,7826904.83,7131413.04,7090406.83,7980445.19,5,2023-07-30,2024-06-29,2024-06-16,completed,100.0,111.91,1,cost_overrun,LOW,1,none,-849032.15,890038.36,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000024,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,school,LOC_MPID_0001_30,Additional classrooms for school at LOC_MPID_0001_30,4194684.88,3934405.01,3843599.24,4280762.33,3,2024-10-14,2025-10-05,2025-11-05,completed,100.0,108.8,1,cost_overrun,LOW,1,none,-346357.32,437163.09,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000025,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_35,Construction of drain at drainage at LOC_MPID_0001_35,2794552.12,2516076.85,2442796.88,3875366.73,5,2024-10-26,2025-01-21,2025-02-10,completed,100.0,154.02,1,cost_overrun,MEDIUM,2,none,-1359289.88,1432569.85,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000026,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,road,LOC_MPID_0001_28,Widening of road at LOC_MPID_0001_28,3306186.59,2878571.37,2868869.13,4448249.17,6,2024-05-06,2025-07-15,2025-08-22,completed,100.0,154.53,1,cost_overrun,MEDIUM,2,none,-1569677.8,1579380.04,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000027,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_19,Covering of drainage in drainage at LOC_MPID_0001_19,3103914.37,3099504.35,2986633.88,5577146.32,10,2025-09-29,2025-12-15,2026-02-04,completed,100.0,179.94,1,cost_overrun,HIGH,3,none,-2477641.97,2590512.44,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000028,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,community_hall,LOC_MPID_0001_69,Upgradation of community hall at LOC_MPID_0001_69,1886121.53,1860530.12,1767814.91,2811877.57,9,2024-02-27,2025-01-03,2025-02-06,completed,100.0,151.13,1,cost_overrun,MEDIUM,2,none,-951347.45,1044062.66,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000029,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_75,Covering of drainage in drainage at LOC_MPID_0001_75,3210117.33,3073204.73,1964275.2,4678374.6,9,2026-06-27,2026-10-11,,in_progress,57.24,152.23,1,cost_overrun,MEDIUM,2,none,-1605169.87,2714099.4,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000030,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,road,LOC_MPID_0001_18,Widening of road at LOC_MPID_0001_18,6398677.75,5629908.83,5383441.99,7396477.37,5,2025-03-17,2026-05-23,2026-05-09,completed,100.0,131.38,1,cost_overrun,MEDIUM,2,none,-1766568.54,2013035.38,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000031,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,community_hall,LOC_MPID_0001_15,Construction of community hall at LOC_MPID_0001_15,7318434.87,6536076.93,6498232.71,9380577.33,5,2025-06-07,2026-03-14,2026-04-17,completed,100.0,143.52,1,cost_overrun,MEDIUM,2,none,-2844500.4,2882344.62,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000032,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_77,Construction of drain at drainage at LOC_MPID_0001_77,1568961.2,1381664.68,0.0,0.0,0,2026-08-12,2026-11-29,,sanctioned,0.0,0.0,0,none,NONE,0,none,1381664.68,0.0,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000033,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,school,LOC_MPID_0001_77,Boundary wall for school at LOC_MPID_0001_77,978961.13,969510.38,961300.69,1200378.04,6,2025-02-28,2025-12-10,2026-01-29,completed,100.0,123.81,1,cost_overrun,MEDIUM,2,none,-230867.66,239077.35,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000034,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,community_hall,LOC_MPID_0001_2,Construction of community hall at LOC_MPID_0001_2,4259211.3,4229428.5,4151137.11,4957727.64,7,2024-05-03,2025-02-21,2025-03-07,completed,100.0,117.22,1,cost_overrun,LOW,1,none,-728299.14,806590.53,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000035,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,community_hall,LOC_MPID_0001_99,Upgradation of community hall at LOC_MPID_0001_99,3003877.15,2787202.65,2719647.54,3016565.99,4,2025-06-02,2025-10-28,2025-12-02,completed,100.0,108.23,1,cost_overrun,LOW,1,none,-229363.34,296918.45,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000036,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,school,LOC_MPID_0001_21,Boundary wall for school at LOC_MPID_0001_21,1412668.21,1228994.53,1228994.53,1338910.35,3,2026-04-24,2026-09-21,,in_progress,83.99,108.94,1,cost_overrun,LOW,1,none,-109915.82,109915.82,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000037,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,water_supply,LOC_MPID_0001_93,Laying pipelines for water supply at LOC_MPID_0001_93,6021825.76,5990496.82,4262111.15,7173288.21,5,2026-04-19,2026-09-20,,in_progress,72.48,119.74,1,cost_overrun,LOW,1,none,-1182791.39,2911177.06,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000038,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,road,LOC_MPID_0001_23,Widening of road at LOC_MPID_0001_23,26408991.7,25370235.17,25283455.63,42383802.94,6,2024-04-02,2024-11-22,2024-12-10,completed,100.0,167.06,1,cost_overrun,HIGH,3,none,-17013567.77,17100347.31,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000039,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,water_supply,LOC_MPID_0001_82,Installation of water supply at LOC_MPID_0001_82,2087698.4,2003148.23,1999354.46,2855632.19,5,2025-04-20,2025-08-07,2025-08-07,completed,100.0,142.56,1,cost_overrun,MEDIUM,2,none,-852483.96,856277.73,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000040,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_70,Construction of drain at drainage at LOC_MPID_0001_70,2809555.89,2477186.81,0.0,0.0,0,2026-08-14,2026-12-28,,sanctioned,0.0,0.0,0,none,NONE,0,none,2477186.81,0.0,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000041,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,school,LOC_MPID_0001_63,Additional classrooms for school at LOC_MPID_0001_63,3902069.84,3445731.19,3387517.63,4003893.38,7,2025-02-21,2025-08-18,2025-09-06,completed,100.0,116.2,1,cost_overrun,LOW,1,none,-558162.19,616375.75,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000042,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,water_supply,LOC_MPID_0001_31,Installation of water supply at LOC_MPID_0001_31,2492499.95,2206388.83,2206388.83,2558814.44,3,2026-05-14,2026-09-11,,in_progress,97.94,115.97,1,cost_overrun,LOW,1,none,-352425.61,352425.61,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000043,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,community_hall,LOC_MPID_0001_11,Construction of community hall at LOC_MPID_0001_11,7957821.56,7774338.62,7747163.56,18614497.65,8,2024-06-11,2025-04-14,2025-04-02,completed,100.0,239.44,1,cost_overrun,HIGH,3,none,-10840159.03,10867334.09,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000044,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_98,Construction of drain at drainage at LOC_MPID_0001_98,5250793.77,4752500.68,4516098.27,7479924.24,5,2024-08-03,2024-10-18,2024-11-27,completed,100.0,157.39,1,cost_overrun,MEDIUM,2,none,-2727423.56,2963825.97,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000045,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_71,Construction of drain at drainage at LOC_MPID_0001_71,1592238.04,1539444.67,0.0,0.0,0,2026-08-08,2026-11-09,,sanctioned,0.0,0.0,0,none,NONE,0,none,1539444.67,0.0,ANOMALY_CAUSED_BREACH,-21730762.09
PRJ_000046,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,drainage,LOC_MPID_0002_78,Covering of drainage in drainage at LOC_MPID_0002_78,3121287.72,3083188.28,2200950.02,4546750.7,5,2026-06-21,2026-09-16,,in_progress,84.19,147.47,1,cost_overrun,MEDIUM,2,none,-1463562.42,2345800.68,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000047,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,drainage,LOC_MPID_0002_97,Construction of drain at drainage at LOC_MPID_0002_97,2553236.74,2496665.58,2451541.59,2686732.22,6,2025-05-11,2025-10-09,2025-11-09,completed,100.0,107.61,1,cost_overrun,LOW,1,none,-190066.64,235190.63,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000048,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,school,LOC_MPID_0002_86,Boundary wall for school at LOC_MPID_0002_86,6417239.81,6163712.27,0.0,0.0,0,2026-07-27,2027-04-15,,sanctioned,0.0,0.0,0,none,NONE,0,none,6163712.27,0.0,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000049,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,community_hall,LOC_MPID_0002_67,Upgradation of community hall at LOC_MPID_0002_67,14194403.93,12515843.12,12430959.58,20012846.84,9,2025-07-17,2025-12-14,2025-12-22,completed,100.0,159.9,1,cost_overrun,MEDIUM,2,none,-7497003.72,7581887.26,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000050,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,drainage,LOC_MPID_0002_9,Covering of drainage in drainage at LOC_MPID_0002_9,2018816.99,1762806.36,1742615.34,2524218.6,5,2024-10-29,2024-12-30,2025-02-18,completed,100.0,143.19,1,cost_overrun,MEDIUM,2,none,-761412.24,781603.26,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000051,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,water_supply,LOC_MPID_0002_30,Installation of water supply at LOC_MPID_0002_30,5387007.44,4835067.13,2252865.09,5764303.47,5,2026-07-21,2026-10-19,,in_progress,44.63,119.22,1,cost_overrun,LOW,1,none,-929236.34,3511438.38,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000052,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,road,LOC_MPID_0002_91,Widening of road at LOC_MPID_0002_91,5432821.68,5066851.35,4922523.58,7071375.39,9,2025-06-06,2026-01-02,2025-12-21,completed,100.0,139.56,1,cost_overrun,MEDIUM,2,none,-2004524.04,2148851.81,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000053,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,road,LOC_MPID_0002_5,Repair of road at LOC_MPID_0002_5,24779102.67,23077394.48,22843804.06,56723170.73,11,2024-08-12,2025-03-16,2025-03-26,completed,100.0,245.8,1,cost_overrun,HIGH,3,none,-33645776.25,33879366.67,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000054,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,road,LOC_MPID_0002_36,Widening of road at LOC_MPID_0002_36,2801960.71,2622863.65,2554661.17,2956931.97,4,2024-11-15,2026-01-17,2026-03-07,completed,100.0,112.74,1,cost_overrun,LOW,1,none,-334068.32,402270.8,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000055,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,community_hall,LOC_MPID_0002_17,Upgradation of community hall at LOC_MPID_0002_17,4905134.65,4699532.96,3588843.06,5611140.15,7,2026-03-26,2026-09-24,,in_progress,72.64,119.4,1,cost_overrun,LOW,1,none,-911607.19,2022297.09,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000056,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,school,LOC_MPID_0002_53,Additional classrooms for school at LOC_MPID_0002_53,7511698.07,7006684.02,6872910.91,8333428.99,7,2025-11-24,2026-05-17,2026-06-21,completed,100.0,118.94,1,cost_overrun,LOW,1,none,-1326744.97,1460518.08,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000057,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,drainage,LOC_MPID_0002_46,Covering of drainage in drainage at LOC_MPID_0002_46,9049775.46,8348907.22,7968141.32,9904444.34,5,2025-01-11,2025-05-03,2025-04-19,completed,100.0,118.63,1,cost_overrun,LOW,1,none,-1555537.12,1936303.02,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000058,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,water_supply,LOC_MPID_0002_87,Installation of water supply at LOC_MPID_0002_87,4228127.25,4207173.56,4116202.02,4791170.64,7,2025-04-02,2025-07-08,2025-07-31,completed,100.0,113.88,1,cost_overrun,LOW,1,none,-583997.08,674968.62,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000059,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,water_supply,LOC_MPID_0002_14,Installation of water supply at LOC_MPID_0002_14,3345391.84,2986722.32,2842103.16,3312746.99,3,2025-10-20,2026-02-11,2026-03-31,completed,100.0,110.92,1,cost_overrun,LOW,1,none,-326024.67,470643.83,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000060,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,community_hall,LOC_MPID_0002_58,Construction of community hall at LOC_MPID_0002_58,20476460.26,20318066.86,20027606.82,21362705.88,3,2025-07-05,2026-02-18,2026-03-05,completed,100.0,105.14,1,cost_overrun,LOW,1,none,-1044639.02,1335099.06,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000061,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,road,LOC_MPID_0002_60,Construction of road at LOC_MPID_0002_60,2927265.59,2785437.97,2358501.41,4277201.98,6,2026-04-03,2026-11-07,,in_progress,71.5,153.56,1,cost_overrun,MEDIUM,2,none,-1491764.01,1918700.57,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000062,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,community_hall,LOC_MPID_0002_71,Construction of community hall at LOC_MPID_0002_71,1926470.14,1756867.98,1674326.11,1974509.38,7,2024-06-16,2024-10-26,2024-12-14,completed,100.0,112.39,1,cost_overrun,LOW,1,none,-217641.4,300183.27,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000063,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,school,LOC_MPID_0002_2,Additional classrooms for school at LOC_MPID_0002_2,7496799.41,7321581.5,2326107.91,8646744.47,5,2026-03-26,2027-04-17,,in_progress,42.09,118.1,1,cost_overrun,LOW,1,none,-1325162.97,6320636.56,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000064,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,school,LOC_MPID_0002_22,Boundary wall for school at LOC_MPID_0002_22,4160364.0,3786258.33,3640194.85,4008809.72,4,2024-07-19,2025-04-19,2025-04-26,completed,100.0,105.88,1,cost_overrun,LOW,1,none,-222551.39,368614.87,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000065,MPID_0002,Bihar,AURANGABAD_BR,147000000.0,drainage,LOC_MPID_0002_52,Construction of drain at drainage at LOC_MPID_0002_52,2026976.41,1768402.42,1403168.99,3536905.53,8,2026-07-01,2026-09-20,,in_progress,73.21,200.01,1,cost_overrun,HIGH,3,none,-1768503.11,2133736.54,ANOMALY_CAUSED_BREACH,-31046137.99
PRJ_000066,MPID_0003,West Bengal,TAMLUK,147000000.0,road,LOC_MPID_0003_1,Repair of road at LOC_MPID_0003_1,2895115.08,2865401.11,2807078.51,3287153.32,3,2024-07-05,2025-05-16,2025-06-01,completed,100.0,114.72,1,cost_overrun,LOW,1,none,-421752.21,480074.81,NONE,9137316.74
PRJ_000067,MPID_0003,West Bengal,TAMLUK,147000000.0,school,LOC_MPID_0003_55,Boundary wall for school at LOC_MPID_0003_55,4086566.54,3717111.01,3605420.36,5305558.44,5,2025-08-06,2026-02-11,2026-02-28,completed,100.0,142.73,1,cost_overrun,MEDIUM,2,none,-1588447.43,1700138.08,NONE,9137316.74
PRJ_000068,MPID_0003,West Bengal,TAMLUK,147000000.0,road,LOC_MPID_0003_28,Construction of road at LOC_MPID_0003_28,4824774.0,4818247.39,4634437.96,5365951.51,5,2023-12-22,2024-07-20,2024-08-09,completed,100.0,111.37,1,cost_overrun,LOW,1,none,-547704.12,731513.55,NONE,9137316.74
PRJ_000069,MPID_0003,West Bengal,TAMLUK,147000000.0,drainage,LOC_MPID_0003_8,Construction of drain at drainage at LOC_MPID_0003_8,6694292.5,5910780.43,5813072.39,12299893.76,8,2024-12-10,2025-04-23,2025-06-06,completed,100.0,208.09,1,cost_overrun,HIGH,3,none,-6389113.33,6486821.37,NONE,9137316.74
PRJ_000070,MPID_0003,West Bengal,TAMLUK,147000000.0,community_hall,LOC_MPID_0003_68,Construction of community hall at LOC_MPID_0003_68,13742377.96,12874446.2,12620522.31,14885805.37,5,2024-11-08,2025-03-22,2025-03-12,completed,100.0,115.62,1,cost_overrun,LOW,1,none,-2011359.17,2265283.06,NONE,9137316.74
PRJ_000071,MPID_0003,West Bengal,TAMLUK,147000000.0,drainage,LOC_MPID_0003_24,Construction of drain at drainage at LOC_MPID_0003_24,3698023.75,3424011.13,19692.04,3744273.2,3,2026-07-17,2026-11-30,,in_progress,5.25,109.35,1,cost_overrun,LOW,1,none,-320262.07,3724581.16,NONE,9137316.74
PRJ_000072,MPID_0003,West Bengal,TAMLUK,147000000.0,school,LOC_MPID_0003_87,Additional classrooms for school at LOC_MPID_0003_87,9438769.89,8709593.67,8296626.91,10033587.18,4,2025-08-14,2026-04-24,2026-06-15,completed,100.0,115.2,1,cost_overrun,LOW,1,none,-1323993.51,1736960.27,NONE,9137316.74
PRJ_000073,MPID_0003,West Bengal,TAMLUK,147000000.0,drainage,LOC_MPID_0003_32,Construction of drain at drainage at LOC_MPID_0003_32,1147699.75,1110277.65,1076823.82,1669607.3,6,2026-01-14,2026-06-02,2026-07-05,completed,100.0,150.38,1,cost_overrun,MEDIUM,2,none,-559329.65,592783.48,NONE,9137316.74
